"Type","Identifiant","Toponyme","Code ISO 1","Code ISO 2","Code ISO 3","Trait de côte (km)","Surface (km²)","Latitude","Longitude"
"ILE NORMALE",1,"Aruba Island","ABW","","","",105.70652443823047,181.93836593369508,-69.9702757569027,12.5093154403058
"ILE NORMALE",3,"Baia dos Tigres Island","AGO","","","",70.47244414640184,88.57095823755058,11.7049106224997,-16.5955456788145
"ILE NORMALE",5,"","AGO","","","",52.638245346650116,26.79247654311198,12.2990872078041,-6.11882117284131
"ILE NORMALE",6,"","AGO","","","",12.593972878107124,2.9884543079515993,12.2914559067918,-6.15520472469748
"ILE NORMALE",7,"","AGO","","","",2.2495307843235586,0.09018293124979734,12.3418795751447,-14.3937136772988
"ILE NORMALE",8,"","AGO","","","",0.9728790969753548,0.04252338270379603,12.5221134601787,-13.4514970620638
"ILE NORMALE",9,"","AGO","","","",0.974462759794838,0.03603718739928305,12.542720981405,-13.4182120112076
"ILE NORMALE",10,"","AGO","","","",2.0166245808565813,0.08618401886242627,12.948677172738,-12.8929492883838
"ILE NORMALE",11,"","AGO","","","",1.0361759621400684,0.03239677131195366,12.9503331087987,-12.8980956121986
"ILE NORMALE",12,"","AGO","","","",0.9135368747541712,0.03981096528668702,12.9641283841525,-12.9354397682264
"ILE NORMALE",13,"","AGO","","","",5.885101484146062,0.8906314112529847,13.0220446865603,-9.01679279255375
"ILE NORMALE",14,"","AGO","","","",65.25400723802228,17.573657814346447,13.0935548789365,-8.9238285873294
"ILE NORMALE",15,"","AGO","","","",15.972750906407114,1.633059950553432,13.2450971398982,-8.77725776519068
"ILE NORMALE",16,"","AGO","","","",2.3907416130903587,0.18292713860181717,13.0564687560145,-8.98632755174362
"ILE NORMALE",17,"","AGO","","","",1.4782714727805226,0.06928762734820694,13.0680279091622,-9.02049071887769
"ILE NORMALE",18,"","AGO","","","",1.2262611773910395,0.057225686523042614,13.2129602168552,-8.81944483591469
"ILE NORMALE",19,"","AGO","","","",2.4546881770033697,0.13038887479705363,13.0943990223175,-8.97797366922372
"ILE NORMALE",20,"","AGO","","","",18.6463621133031,6.3839359660026425,13.1164797598323,-8.92993326520203
"ILE NORMALE",21,"","AGO","","","",1.9643429072546883,0.09696274482021108,13.1164941143778,-7.8249965353366
"ILE NORMALE",22,"","AGO","","","",1.8407077464021804,0.10821996559776366,13.1239772871289,-7.81446192528398
"ILE NORMALE",23,"","AGO","","","",4.5904668096212085,0.2299083126982823,13.2062257608081,-8.82885490293668
"ILE NORMALE",24,"","AGO","","","",1.2245333986432716,0.045982993667483325,13.1648919367134,-8.86785670291653
"ILE NORMALE",25,"","AGO","","","",1.5961857144018874,0.09130731920322775,13.1257215951352,-7.83851321300133
"ILE NORMALE",26,"","AGO","","","",5.208363844168535,0.47681510947875677,13.1341369159286,-8.93690972335426
"ILE NORMALE",27,"","AGO","","","",3.490803846042663,0.2618228396108821,13.1504796011919,-8.90511160646807
"ILE NORMALE",28,"","AGO","","","",1.2266157405603122,0.05359592775893211,13.1385082683452,-7.83047301892914
"ILE NORMALE",30,"","AIA","","","",17.027182202548655,4.305314804401696,-62.9449769994363,18.2873031811234
"ILE NORMALE",31,"","AIA","","","",11.072649219600516,2.34433213722682,-63.250399657537,18.2789437139285
"ILE NORMALE",32,"Sombrero Island","AIA","","","",5.314646203406813,0.5445200699694156,-63.4256182649478,18.5887635423823
"ILE NORMALE",33,"","AIA","","","",4.655792196645227,0.4641552750701308,-63.1853305223114,18.266922844067
"ILE NORMALE",34,"","AIA","","","",4.381481045113893,0.4307281884295791,-63.1724388042433,18.2634014930326
"ILE NORMALE",35,"","AIA","","","",1.7360770834625492,0.10471149822363257,-62.9556076857603,18.2967188438769
"ILE NORMALE",36,"","AIA","","","",1.7904334296807505,0.09493737173774838,-63.1468989619949,18.2683175608231
"ILE NORMALE",37,"Anguillita Island","AIA","","","",1.6867961895695216,0.0930337366861701,-63.175760923464,18.1563431095595
"ILE NORMALE",38,"Anguilla Island","AIA","","","",95.36366032146378,74.92979857039985,-63.0544000558421,18.2147356240643
"ILE NORMALE",39,"","ALA","","","",1.4953645753487264,0.0812853041241169,21.3260951570447,59.7753283877802
"ILE NORMALE",40,"","ALA","","","",5.11345225049671,0.8828443887581825,19.3261547552243,60.2107778733626
"ILE NORMALE",41,"","ALA","","","",1.5523435281877673,0.07722378019750117,21.3208048503188,59.8075465099268
"ILE NORMALE",42,"","ALA","","","",3.2004053455171526,0.4818566178269386,19.3466785275909,60.1963109844534
"ILE NORMALE",43,"","ALA","","","",1.0568718697261592,0.041568669767975804,21.3200272770777,59.7674555116136
"ILE NORMALE",44,"","ALA","","","",3.8675054144349588,0.653218345123291,19.4796294999497,60.2778915253423
"ILE NORMALE",45,"","ALA","","","",1.4334325918991608,0.0656293545538187,21.3210464732081,59.7491639313821
"ILE NORMALE",46,"","ALA","","","",7.578650219431233,1.9822471020750998,19.4916283355929,60.2489872378229
"ILE NORMALE",47,"","ALA","","","",1.245298783507766,0.05404281378674507,21.3178763882986,59.7751335585362
"ILE NORMALE",48,"","ALA","","","",12.978254406341913,3.68099032505846,19.5214353993385,60.2460131528501
"ILE NORMALE",49,"","ALA","","","",1.1219350685503524,0.047222594032526016,21.310081289038,59.8565467290783
"ILE NORMALE",50,"","ALA","","","",69.5084649948081,89.30249338074516,19.6030010952924,60.2139553323169
"ILE NORMALE",51,"","ALA","","","",1.867372535215196,0.10621753781354427,21.3119339543673,59.7871840372449
"ILE NORMALE",52,"","ALA","","","",3.159648666063725,0.3828122513986826,19.5392612282376,60.2738958898319
"ILE NORMALE",53,"","ALA","","","",1.3700155120990953,0.07052539524722098,21.3073432670658,59.8294145137096
"ILE NORMALE",54,"","ALA","","","",11.726729863635118,4.0177548953087925,19.6016718379052,60.348098687455
"ILE NORMALE",55,"","ALA","","","",1.1205945573331368,0.04534259445029497,21.2866196625986,59.8202427909145
"ILE NORMALE",56,"","ALA","","","",4.021846348554041,0.7437527448860705,19.6066784574441,60.4130529963029
"ILE NORMALE",57,"","ALA","","","",1.9298566981057288,0.09358828005468844,21.281758999795,59.815326975415
"ILE NORMALE",58,"","ALA","","","",3.324702615327209,0.6274854797282219,19.6273436618352,60.1605087409569
"ILE NORMALE",59,"","ALA","","","",1.429669928818066,0.052953721661567685,21.2801397225233,59.8670883213305
"ILE NORMALE",60,"","ALA","","","",3.77621859466967,0.540083235133171,19.6365370641634,60.3061066207412
"ILE NORMALE",61,"","ALA","","","",0.9936340518205633,0.03465095138502121,21.2747703503252,59.889474826177
"ILE NORMALE",62,"","ALA","","","",0.995957817345118,0.03386409363698959,21.2664395971766,59.8027203581958
"ILE NORMALE",63,"","ALA","","","",4.38005861284197,0.9813674775159359,19.6927902645126,60.1694013350066
"ILE NORMALE",64,"","ALA","","","",2.612985570105859,0.1290987448427677,21.2589799146124,59.8726458748039
"ILE NORMALE",65,"","ALA","","","",4.6820396530684185,1.1940373920903204,19.6965875661224,60.337055463279
"ILE NORMALE",66,"","ALA","","","",1.1820092006033733,0.044398098397970195,21.2543103554301,59.8165344103743
"ILE NORMALE",67,"","ALA","","","",5.634611102872865,1.7651003305419086,19.7096862454556,60.3674927930648
"ILE NORMALE",68,"","ALA","","","",1.2449774384608372,0.06942550455999374,21.2525458073982,59.811553970406
"ILE NORMALE",69,"","ALA","","","",5.720700759773244,1.3787494896268844,19.7220122296245,60.3205430152884
"ILE NORMALE",70,"","ALA","","","",1.179765941672824,0.060684742705941194,21.2509701658254,59.8980646452247
"ILE NORMALE",71,"","ALA","","","",4.3209521781341325,0.6845932492113113,19.7115845952518,60.298463131401
"ILE NORMALE",72,"","ALA","","","",0.9351963607831085,0.031924183490276335,21.2496123735306,59.7956584374442
"ILE NORMALE",73,"","ALA","","","",7.599159317406677,2.938198841378212,19.7329613315729,60.3802443281687
"ILE NORMALE",74,"","ALA","","","",0.9949209994255948,0.04628173819851875,21.2427550163805,59.902294609263
"ILE NORMALE",75,"","ALA","","","",2.3585419875389126,0.20007922582244872,21.2408825234361,59.9088164705635
